INFO 2026-06-11 14:48:57,051 autoreload 10488 11888 Watching for file changes with StatReloader
INFO 2026-06-11 15:03:52,901 basehttp 10488 18496 "GET /api/notifications/unread_count/ HTTP/1.1" 200 18
INFO 2026-06-11 15:03:52,923 basehttp 10488 20060 "GET /api/users/ HTTP/1.1" 200 1199
INFO 2026-06-11 15:03:53,166 basehttp 10488 20060 "GET /api/notifications/unread_count/ HTTP/1.1" 200 18
INFO 2026-06-11 15:04:00,306 basehttp 10488 20060 "POST /api/auth/refresh/ HTTP/1.1" 200 269
INFO 2026-06-11 15:04:00,310 basehttp 10488 18496 "POST /api/auth/refresh/ HTTP/1.1" 200 269
INFO 2026-06-11 15:04:00,536 basehttp 10488 18496 "GET /api/auth/me/ HTTP/1.1" 200 208
INFO 2026-06-11 15:04:00,582 basehttp 10488 20060 "GET /api/auth/me/ HTTP/1.1" 200 208
INFO 2026-06-11 15:04:00,761 basehttp 10488 20060 "GET /api/notifications/unread_count/ HTTP/1.1" 200 18
INFO 2026-06-11 15:04:00,785 basehttp 10488 18496 "GET /api/notifications/unread_count/ HTTP/1.1" 200 18
INFO 2026-06-11 15:04:00,805 basehttp 10488 20060 "GET /api/notifications/unread_count/ HTTP/1.1" 200 18
INFO 2026-06-11 15:04:01,023 basehttp 10488 20060 "GET /api/users/ HTTP/1.1" 200 1199
INFO 2026-06-11 15:04:01,051 basehttp 10488 18496 "GET /api/users/ HTTP/1.1" 200 1199
INFO 2026-06-11 15:04:34,961 basehttp 10488 18496 "OPTIONS /api/users/1/reset_password/ HTTP/1.1" 200 0
INFO 2026-06-11 15:04:40,247 basehttp 10488 18496 "POST /api/users/1/reset_password/ HTTP/1.1" 200 41
INFO 2026-06-11 15:04:46,016 basehttp 10488 18496 "OPTIONS /api/auth/logout/ HTTP/1.1" 200 0
INFO 2026-06-11 15:04:46,757 basehttp 10488 18496 "POST /api/auth/logout/ HTTP/1.1" 200 37
INFO 2026-06-11 15:04:57,866 basehttp 10488 18496 "POST /api/auth/login/ HTTP/1.1" 200 755
INFO 2026-06-11 15:04:58,056 basehttp 10488 18496 "GET /api/notifications/unread_count/ HTTP/1.1" 200 18
INFO 2026-06-11 15:04:58,087 basehttp 10488 20060 "GET /api/notifications/unread_count/ HTTP/1.1" 200 18
INFO 2026-06-11 15:04:58,315 basehttp 10488 6448 "GET /api/patients/?limit=5 HTTP/1.1" 200 1545
INFO 2026-06-11 15:04:58,331 basehttp 10488 18496 "GET /api/users/?limit=5 HTTP/1.1" 200 1199
